SN,GANTRY_HEIGHT,ADDRESS,CAR_PARK_NO,X_COORD,Y_COORD,CAR_PARK_TYPE
97,1.9,BLK 235A PASIR RIS STREET 21,PM5,42388.3371,39530.4506,MULTI-STOREY CAR PARK
98,3,BLK 76/77 LORONG LIMAU,BR8,30363.7715,34154.9883,SURFACE CAR PARK
99,2.15,BLK 578A WOODLANDS DRIVE 16,W578,23923.9837,45898.4854,MULTI-STOREY CAR PARK
100,2.15,BLK 819 KEAT HONG LINK,CK79,18695.601,39679.8718,MULTI-STOREY CAR PARK
101,5.4,BLK 148 - 154 SIMEI STREET 1,SI10,41778.1055,36412.1574,SURFACE CAR PARK
102,2.15,BLK 68 LORONG 5 TOA PAYOH,TP10,30256.17,35233.77,SURFACE CAR PARK
103,2.1,BLK 691A JURONG WEST CENTRAL 1,J89M,13819.7717,36058.9311,MULTI-STOREY CAR PARK
104,0,HOUGANG SPORTS COMPLEX,HG39,33859.2191,39106.9608,SURFACE CAR PARK
105,0,BLK 821/830 YISHUN STREET 81,Y27,28033.9316,44001.6406,SURFACE CAR PARK
106,0,"BLK 117A, 117B, 118A AND 118B CANBERRA CRESCENT",S43L,27659.3104,47371.4915,SURFACE CAR PARK
107,2.15,BLK 195A RIVERVALE DRIVE,SK31,35706.3126,41679.5157,MULTI-STOREY CAR PARK
108,2.15,BLK 200 SENGKANG EAST ROAD,SK32,34548.7768,41065.8066,MULTI-STOREY CAR PARK
109,0,"BLK 34 TO 36, 37A TO 37C EUNOS CRESCENT/ EUNOS ROAD 2",ECML,35592.0791,33722.6334,SURFACE CAR PARK
110,0,"BLK 302,304 UBI AVENUE 1",KU9,35542.2415,34680.104,SURFACE CAR PARK
111,2.1,BLK 399 YUNG SHENG ROAD,PDJ3,15435.0187,35211.8516,BASEMENT CAR PARK
112,1.8,BLK 925 YISHUN CENTRAL 1,Y54M,28413.6222,45450.4144,MULTI-STOREY CAR PARK
113,2.5,"BLK 926/932,934/935 YISHUN CENTRAL 1",Y56,28383.2891,45244.5078,SURFACE CAR PARK
114,2.15,BLK 279 SENGKANG EAST AVENUE,SK92,34632.3385,40901.2037,MULTI-STOREY CAR PARK
115,2.15,BLK 196 PUNGGOL FIELD,P1,36202.3912,42357.2043,MULTI-STOREY CAR PARK
116,2.15,BLK 117 ALKAFF CRESCENT,BA2,32444.5217,35453.6678,MULTI-STOREY CAR PARK
117,0,BLK 302-314 YISHUN CENTRAL/RING ROAD,Y41,28735.9258,45762.625,SURFACE CAR PARK
118,2.15,BLK 259 COMPASSVALE ROAD,SK26,35037.7821,41713.346,MULTI-STOREY CAR PARK
119,0,BLK 109/114 TAMPINES STREET 11,T3,40700.7059,36530.5002,SURFACE CAR PARK
120,2,BLK 497E TAMPINES STREET 45,TM25,41930.7103,37865.65,MULTI-STOREY CAR PARK
121,9.99,BLK 711/718 JURONG WEST STREET 71,J74,12730.417,36090.9727,SURFACE CAR PARK
122,4.5,BLK 201-204 HOUGANG STREET 21,HG9,33698.1131,37886.9986,SURFACE CAR PARK
123,4.5,BLK 617/624 BEDOK RESERVOIR ROAD,B52,37412.3828,35122.5781,SURFACE CAR PARK
124,1.9,BLK 269A PASIR RIS STREET 21,PM11,42482.8751,38537.8136,MULTI-STOREY CAR PARK
125,4.5,BLK 650/661 YISHUN AVENUE 4,Y38,28755.9082,44928.25,SURFACE CAR PARK
126,2.15,BLK 316B ANG MO KIO STREET 31,AM22,29595.2539,38514.7606,MULTI-STOREY CAR PARK
127,4.5,BLK 49/50 HOY FATT ROAD,BM3,25574.8666,30013.7121,SURFACE CAR PARK
128,2,BLK 101C LORONG 2 TOA PAYOH,TPM2,29532.3014,35715.2153,MULTI-STOREY CAR PARK
129,2.15,BLK 513A JELAPANG ROAD,BJ31,20672.7922,41096.8488,MULTI-STOREY CAR PARK
130,0,BLK 555/559 ANG MO KIO STREET 54,A49,30724.16,39260.19,SURFACE CAR PARK
131,2.15,BLK 77A MARINE DRIVE,MP6M,36343.2232,31627.1688,MULTI-STOREY CAR PARK
132,0,BLK 89/90 REDHILL CLOSE,BM20,26379.7745,29741.6402,SURFACE CAR PARK
133,4.5,BLK 130/132 BEDOK NORTH STREET 2,B32,39511.7026,34404.0851,SURFACE CAR PARK
134,2.15,BLK 153 JALAN TECK WHYE,TWM5,19687.1465,40113.8175,MULTI-STOREY CAR PARK
135,4.15,BLK 217/219 BUKIT BATOK STREET 21,U14,19276.68,36568.93,SURFACE CAR PARK
136,2.15,183 BOON LAY AVENUE,BL21,14206.3144,36819.8339,MULTI-STOREY CAR PARK
137,0,BLK 79/80/81 TELOK BLANGAH DRIVE,TB22,25135.612,28488.1817,SURFACE CAR PARK
138,2.15,BLK 35A LORONG 5 TOA PAYOH,TPM6,30371.0062,35230.8425,MULTI-STOREY CAR PARK
139,2.15,BLK 255A ANG MO KIO STREET 21,AM32,28117.7689,39172.0389,MULTI-STOREY CAR PARK
140,4.5,BLK 45-48 BENDEMEER ROAD,KB18,31607.4592,33883.3513,SURFACE CAR PARK
141,2.15,BLK 455 ANG MO KIO STREET 44,AM43,30669.2379,38959.5487,MULTI-STOREY CAR PARK
142,2.15,BLK 700 ANG MO KIO AVENUE 6,AM51,29489.025,39103.7605,MULTI-STOREY CAR PARK
143,0,BLK 26 AND 27 DOVER CRESCENT,AR2L,22194.6359,32026.8288,SURFACE CAR PARK
144,0,BLK 81 TIONG POH ROAD/KENG KIAT STREET,TE28,27925.02,29451.2566,SURFACE CAR PARK
145,2,BLK 839A WOODLANDS STREET 82,W49,23405.0247,47174.9596,MULTI-STOREY CAR PARK
146,9.99,BLK 902/908 JURONG WEST STREET 91,J62,11539.0898,35894.793,SURFACE CAR PARK
147,0,"BLK 6,12,14 KAMPONG ARANG ROAD",JB3,33672.4849,31431.027,SURFACE CAR PARK
148,2.15,BLK 687 CHOA CHU KANG DRIVE,CK62,18715.5324,42855.1194,MULTI-STOREY CAR PARK
149,4.5,BLK 1/3/5 JALAN BUKIT MERAH,BM26,25118.4593,29967.6925,SURFACE CAR PARK
150,2.15,BLK 172 EDGEDALE PLAINS,PL25,36731.4595,41935.1533,MULTI-STOREY CAR PARK
151,1.9,BLK 637A BEDOK RESERVOIR ROAD,B66,35903.9044,34750.8852,MULTI-STOREY CAR PARK
152,2.15,BLK 224E COMPASSVALE WALK,SK7,35197.2219,41221.829,MULTI-STOREY CAR PARK
153,2.15,BLK 509A WOODLANDS DRIVE 14,W509,23101.6173,46110.9586,MULTI-STOREY CAR PARK
154,0,BLK 201E TAMPINES STREET 21,T18,41423.7376,37254.2715,SURFACE CAR PARK
155,2.15,BLK 306B CANBERRA ROAD,SB1,26746.7947,47569.9618,MULTI-STOREY CAR PARK
156,2.15,BLK 481A SEMBAWANG DRIVE,SB10,26005.1646,48235.1526,MULTI-STOREY CAR PARK
